id, name, base, counter, api, priceBTC, volume24h, percentChange1h,percentChange24h, percentChange7d, dateTimeUSD, milisec, timeframe
null, Ether Zero, ETZ, BTC, coinmarketcap, 0.000028866728789286126, 260.10993850802146, -0.9305, -6.0942, -16.9622, 2019-06-21T06:59:08, 1561100348000, 1h
null, MOAC, MOAC, BTC, coinmarketcap, 0.00007157742492354929, 4.770106981038712, -0.1252, -4.2791, -24.4053, 2019-06-21T06:59:06, 1561100346000, 1h
null, Wanchain, WAN, BTC, coinmarketcap, 0.00004102517158285324, 282.82173592279094, 0.4409, -10.1464, -30.8633, 2019-06-21T06:59:07, 1561100347000, 1h
null, IPChain, IPC, BTC, coinmarketcap, 0.00005578810600228592, 311.91686116239424, -0.6724, -8.5713, -6.9645, 2019-06-21T06:59:06, 1561100346000, 1h
null, Newton, NEW, BTC, coinmarketcap, 3.6241444626300247E-7, 1304.1779202308642, 1.2103, -6.5886, -16.1319, 2019-06-21T06:59:11, 1561100351000, 1h
null, PIVX, PIVX, BTC, coinmarketcap, 0.00007594477001945218, 85.80152783657763, -0.3516, -9.0709, -15.9653, 2019-06-21T06:59:02, 1561100342000, 1h
null, Metadium, META, BTC, coinmarketcap, 0.000003383202815268692, 795.8395617010818, 0.2876, -8.1106, -13.665, 2019-06-21T06:59:10, 1561100350000, 1h
null, TomoChain, TOMO, BTC, coinmarketcap, 0.00006468069067490855, 223.8723005848649, -0.8961, -10.2553, 1.8779, 2019-06-21T06:59:07, 1561100347000, 1h
null, Nxt, NXT, BTC, coinmarketcap, 0.000003860820392480574, 177.64629460298224, -0.6558, -10.2057, -13.2813, 2019-06-21T06:59:01, 1561100341000, 1h
null, CyberMiles, CMT, BTC, coinmarketcap, 0.000004520652360820002, 985.3034421464697, 1.1675, -8.3553, -18.3292, 2019-06-21T06:59:06, 1561100346000, 1h
null, Beam, BEAM, BTC, coinmarketcap, 0.00014506242517181843, 2696.780247454728, 2.0599, -10.2552, 81.6724, 2019-06-21T06:59:10, 1561100350000, 1h
null, Groestlcoin, GRS, BTC, coinmarketcap, 0.000043715177928009814, 173.4934615840412, -0.0846, -6.9723, -18.2902, 2019-06-21T06:59:01, 1561100341000, 1h
null, Syscoin, SYS, BTC, coinmarketcap, 0.00000561643349958384, 69.72517278136824, -0.3283, -11.182, -29.9886, 2019-06-21T06:59:01, 1561100341000, 1h
null, CasinoCoin, CSC, BTC, coinmarketcap, 7.922586928433185E-8, 11.055760054168758, 3.9537, -7.0582, -23.1983, 2019-06-21T06:59, 1561100340000, 1h
null, #MetaHash, MHC, BTC, coinmarketcap, 0.000002359491626569678, 18.27428073491512, -0.3873, -5.1415, -18.908, 2019-06-21T06:59:11, 1561100351000, 1h
null, Vertcoin, VTC, BTC, coinmarketcap, 0.00005677605787437469, 148.93594268436442, 0.0441, -7.2888, -11.9915, 2019-06-21T06:59:01, 1561100341000, 1h
