id, name, base, counter, api, priceUSD, volume24h, percentChange1h,percentChange24h, percentChange7d, dateTimeUSD, milisec, timeframe
null, Ether Zero, ETZ, USD, coinmarketcap, 0.275091641269, 2573770.97824924, -0.658935, -3.56284, -3.17052, 2019-06-21T08:59:07, 1561107547000, 1h
null, MOAC, MOAC, USD, coinmarketcap, 0.688549796554, 42685.3120001063, -1.08513, -0.748143, -11.3108, 2019-06-21T08:59:05, 1561107545000, 1h
null, Newton, NEW, USD, coinmarketcap, 0.00352448721909, 12394638.6994304, 0.937646, -2.11221, -0.92569, 2019-06-21T08:59:10, 1561107550000, 1h
null, Wanchain, WAN, USD, coinmarketcap, 0.395734496039, 2754189.49913167, 0.116305, -8.81048, -19.2368, 2019-06-21T08:59:06, 1561107546000, 1h
null, PIVX, PIVX, USD, coinmarketcap, 0.741767198929, 792148.988014976, -0.0252289, -3.06729, 0.256126, 2019-06-21T08:59:02, 1561107542000, 1h
null, IPChain, IPC, USD, coinmarketcap, 0.53275658144, 2708571.18027094, -0.00143789, -5.45658, 6.98279, 2019-06-21T08:59:05, 1561107545000, 1h
null, Metadium, META, USD, coinmarketcap, 0.0327895924202, 5966919.93803721, -0.983839, -2.596, 1.20651, 2019-06-21T08:59:09, 1561107549000, 1h
null, TomoChain, TOMO, USD, coinmarketcap, 0.644258447302, 2176544.0036126, 1.44176, -2.37687, 24.1991, 2019-06-21T08:59:06, 1561107546000, 1h
null, Nxt, NXT, USD, coinmarketcap, 0.0373471862258, 1639127.15513226, -0.72456, -5.49011, 1.72445, 2019-06-21T08:59:01, 1561107541000, 1h
null, CyberMiles, CMT, USD, coinmarketcap, 0.0436463776098, 9460074.09696157, -0.430784, -4.61133, -5.05937, 2019-06-21T08:59:04, 1561107544000, 1h
null, Beam, BEAM, USD, coinmarketcap, 1.37694908622, 25519506.6705302, -3.27326, -11.4912, 108.655, 2019-06-21T08:59:10, 1561107550000, 1h
null, Groestlcoin, GRS, USD, coinmarketcap, 0.419229313075, 1744362.02195862, -1.3978, -3.6459, -4.48771, 2019-06-21T08:59:01, 1561107541000, 1h
null, Syscoin, SYS, USD, coinmarketcap, 0.0538281053492, 658489.860228746, -1.30565, -7.83482, -18.4887, 2019-06-21T08:59:01, 1561107541000, 1h
null, CasinoCoin, CSC, USD, coinmarketcap, 0.000741590311961, 106729.443485927, 2.12315, -5.6656, -12.3695, 2019-06-21T08:59, 1561107540000, 1h
null, Unobtanium, UNO, USD, coinmarketcap, 140.724584734, 1050.2065596302, 0.0161464, 4.17479, 15.616, 2019-06-21T08:59, 1561107540000, 1h
null, #MetaHash, MHC, USD, coinmarketcap, 0.0230569041957, 181658.063513111, 0.703726, -0.119396, -3.6247, 2019-06-21T08:59:10, 1561107550000, 1h
null, Vertcoin, VTC, USD, coinmarketcap, 0.558661999834, 1494554.99978145, 1.78107, -1.73555, 5.24541, 2019-06-21T08:59, 1561107540000, 1h
null, Skycoin, SKY, USD, coinmarketcap, 1.8438449128, 881516.698703495, -1.3527, 7.65583, 13.7327, 2019-06-21T08:59:02, 1561107542000, 1h
null, BHPCoin, BHP, USD, coinmarketcap, 1.55839982539, 6702385.5885053, -1.88699, 0.864438, -1.00121, 2019-06-21T08:59:08, 1561107548000, 1h
null, BOScoin, BOS, USD, coinmarketcap, 0.0407495380179, 70547.4468312515, -2.658, -1.80552, 98.5168, 2019-06-21T08:59:03, 1561107543000, 1h
null, Einsteinium, EMC2, USD, coinmarketcap, 0.113283038873, 1439712.94746336, -0.271524, -3.42845, -9.98919, 2019-06-21T08:59:01, 1561107541000, 1h
null, High Performance Blockchain, HPB, USD, coinmarketcap, 0.546115254719, 4740507.65444969, 0.411122, 4.53327, 18.7449, 2019-06-21T08:59:07, 1561107547000, 1h
null, Quantum Resistant Ledger, QRL, USD, coinmarketcap, 0.346927053433, 56572.064709272, 1.36627, -1.26953, 4.15108, 2019-06-21T08:59:02, 1561107542000, 1h
null, Nexus, NXS, USD, coinmarketcap, 0.372427251004, 618671.568169399, -0.283626, 2.24436, 2.05458, 2019-06-21T08:59:01, 1561107541000, 1h
null, Obyte, GBYTE, USD, coinmarketcap, 33.2758779417, 37841.1839514679, 1.2732, -2.91503, -9.23677, 2019-06-21T08:59:02, 1561107542000, 1h
null, IRISnet, IRIS, USD, coinmarketcap, 0.0684396972136, 3047295.52397276, -0.427272, -1.83245, 0.989237, 2019-06-21T08:59:10, 1561107550000, 1h
null, PLATINCOIN, PLC, USD, coinmarketcap, 31.8086861118, 3252694.58748893, 0.662747, 1.18669, 11.044, 2019-06-21T08:59:09, 1561107549000, 1h
null, Pirate Chain, ARRR, USD, coinmarketcap, 0.213609891153, 8219.8277273545, 0.520733, -3.784, 37.3509, 2019-06-21T08:59:11, 1561107551000, 1h
null, Apollo Currency, APL, USD, coinmarketcap, 0.00145886358315, 35142.206226459, 0.493029, -4.53568, -14.179, 2019-06-21T08:59:08, 1561107548000, 1h
null, Particl, PART, USD, coinmarketcap, 2.57616100711, 83977.7838553695, 1.28032, -2.13822, -18.2485, 2019-06-21T08:59:04, 1561107544000, 1h
null, SaluS, SLS, USD, coinmarketcap, 20.183795426, 5844.77139649638, 4.24587, 8.92536, 18.0161, 2019-06-21T08:59:02, 1561107542000, 1h
null, TTC, TTC, USD, coinmarketcap, 0.0938287218287, 3388188.09218866, -0.623651, -8.01671, -12.4074, 2019-06-21T08:59:10, 1561107550000, 1h
null, Lightning Bitcoin, LBTC, USD, coinmarketcap, 4.70100690637, 6802594.63311141, -0.382266, -3.4081, -5.7579, 2019-06-21T08:59:04, 1561107544000, 1h
null, ILCoin, ILC, USD, coinmarketcap, 0.0610547249304, 1272806.55875395, 1.30211, 1.08152, 2.38271, 2019-06-21T08:59:10, 1561107550000, 1h
